Location,year,counts,offset,x1
52fd31d7,4,1,0.30716,0
3421b03c,4,0,0.07229,0
ff529e8f,4,0,0.00769,0
c304b52e,4,0,0.00551,0
ca72fd20,4,2,0.06053,0
6028e7b7,4,0,0.11951,0
fdb23048,4,0,0.02352,0
0f7c71d8,4,0,0.03497,0
34fe95a5,4,7,0.42949,0
11184bca,4,1,0.07486,0
aadc708f,4,0,0.08817,0
45e05b54,4,1,0.24602,0
056f421c,4,1,0.09391,0
525214eb,4,1,0.04045,0
a33682bf,4,1,0.06054,0
be428bac,4,0,0.09973,0
8f3fe004,4,0,0.06899,0
88d245ba,4,1,0.10478,0
72cd92d3,4,1,0.09962,0
a06de818,4,6,0.11508,0
d531f652,4,0,0.20374,0
7778c917,4,0,0.09227,0
205e19b2,4,7,0.24149,0
9a312f28,4,0,0.02029,0
0eb837a8,4,0,0.06064,0
0f9ed4e2,4,1,0.3606,0
c2be3453,4,8,4.71866,0
e24cd8b8,4,0,0.02159,0
550e54c5,4,0,0.06376,0
156ec693,4,2,0.03484,0
cf35c6c5,4,0,0.03037,0
14298a4c,4,1,0.05261,0
5e125303,4,4,0.23031,0
21255d80,4,0,0.02284,0
55a7fd48,4,0,0.01945,0
a4728441,4,2,0.021,0
acd4504e,4,0,0.00726,0
8ccec174,4,0,0.02696,0
a4a399e0,4,21,0.53722,0
d4270efc,4,3,0.09323,0
957796e0,4,2,0.03677,0
78ce3bab,4,0,0.01098,0
60760148,4,1,0.03056,0
5eac0b24,4,2,0.1121,0
5cafec9f,4,0,0.00731,0
ad8153f8,4,0,0.06427,0
78eaa11e,4,0,0.08253,0
1f9012d1,4,1,0.04927,0
8d66d502,4,4,0.06785,0
1a1685ad,4,0,0.08757,0
afbc2e22,4,0,0.00957,0
2e23216d,4,0,0.04046,0
eda1ed99,4,2,0.09108,0
f3fb7a0c,4,16,2.58398,0
feb5d49b,4,4,0.34525,0
9bd1560c,4,0,0.00764,0
6a97c123,4,0,0.00736,0
47235d1f,4,2,0.35862,0
14a06ce1,4,0,0.00549,0
89c9d5ba,4,5,0.08054,0
802bcd6f,4,0,0.05225,0
b5f1a762,4,0,0.03948,0
f89b93ae,4,0,0.0733,0
352ce11a,4,0,0.04844,0
e27e8033,4,1,0.15524,0
1778258c,4,1,0.0302,0
954f2cb4,4,0,0.03119,0
cb173123,4,3,0.09684,0
ce5d1ed1,4,0,0.07627,0
118e2f5e,4,7,0.30939,0
bb345b03,4,1,0.05556,0
d7a280be,4,0,0.11436,0
5b08009a,4,0,0.09125,0
638a036c,4,0,0.01674,0
a8cdc2c2,4,5,0.1411,0
6e97cded,4,3,1.2949600000000001,0
c3885694,4,2,0.19925,0
f4cdaee1,4,5,0.36572,0
377480be,4,1,0.16574,0
19deb977,4,0,0.05995,0
211eb2ae,4,0,0.03228,0
ab95b70d,4,0,0.01443,0
f526a4e0,4,0,0.06453,0
ecc34c2e,4,5,0.05723,0
e3e35fdb,4,0,0.00691,0
df31f97d,4,0,0.06989,0
e769f6fe,4,2,0.04541,0
5bc8b302,4,1,0.19264,0
79e354b2,4,1,0.09664,0
ff84071f,4,0,0.0397,0
a6484004,4,0,0.00837,0
20760acb,4,3,0.1423,0
52fd31d7,5,123,0.30693,3.2556322437817427
3421b03c,5,3,0.07172,0
ff529e8f,5,0,0.00763,0
c304b52e,5,2,0.00545,0
ca72fd20,5,24,0.05888,33.04146704113663
6028e7b7,5,13,0.11719,0
fdb23048,5,5,0.02304,0
0f7c71d8,5,15,0.03478,0
34fe95a5,5,167,0.43251,16.298400428415096
11184bca,5,4,0.07366,13.358268768367621
aadc708f,5,11,0.08716,0
45e05b54,5,2,0.24868,4.064710186163727
056f421c,5,2,0.09291,10.648493238206795
525214eb,5,30,0.0409,24.721878862793574
a33682bf,5,15,0.06031,16.518004625041296
be428bac,5,5,0.09935,0
8f3fe004,5,38,0.06859,0
88d245ba,5,11,0.10433,9.543806069860661
72cd92d3,5,7,0.09832,10.03814495081309
a06de818,5,63,0.11388,52.13764337851929
d531f652,5,1,0.20488,0
7778c917,5,2,0.09306,0
205e19b2,5,80,0.24175,28.98670752412108
9a312f28,5,7,0.02027,0
0eb837a8,5,1,0.05984,0
0f9ed4e2,5,36,0.36184,2.7731558513588466
c2be3453,5,59,4.76701,1.6953965744512214
e24cd8b8,5,7,0.0217,0
550e54c5,5,23,0.06371,0
156ec693,5,10,0.0344,57.405281285878296
cf35c6c5,5,7,0.02981,0
14298a4c,5,25,0.05207,19.007793195210038
5e125303,5,30,0.23056,17.367895445269422
21255d80,5,18,0.02304,0
55a7fd48,5,16,0.01936,0
a4728441,5,3,0.02136,95.23809523809523
acd4504e,5,1,0.00697,0
8ccec174,5,8,0.02662,0
a4a399e0,5,123,0.5405,39.09013067272253
d4270efc,5,51,0.09349,32.17848332081948
957796e0,5,17,0.03717,54.39216752787599
78ce3bab,5,3,0.01092,0
60760148,5,9,0.03047,32.72251308900523
5eac0b24,5,32,0.11042,17.84121320249777
5cafec9f,5,2,0.00737,0
ad8153f8,5,10,0.06509,0
78eaa11e,5,10,0.08157,0
1f9012d1,5,4,0.05102,20.296326364927946
8d66d502,5,30,0.068,58.95357406042742
1a1685ad,5,34,0.08514,0
afbc2e22,5,4,0.00964,0
2e23216d,5,14,0.0396,0
eda1ed99,5,12,0.09065,21.958717610891526
f3fb7a0c,5,114,2.62667,6.1919983900804185
feb5d49b,5,126,0.34776,11.585807385952208
9bd1560c,5,5,0.00737,0
6a97c123,5,0,0.00722,0
47235d1f,5,10,0.35858,5.576933801795772
14a06ce1,5,1,0.00538,0
89c9d5ba,5,24,0.08033,62.080953563446734
802bcd6f,5,7,0.05202,0
b5f1a762,5,7,0.03842,0
